judul_lagu,artis,genre,valence,energy,danceability,tempo,acousticness,popularity,genre_utama,mood,tokens,cluster
High Country,Leftover Salmon,bluegrass,0.912,0.942,0.569,130.076,0.0207,28,Folk & Country,Happy,high country,3
Honky Tonk (Pt.1),Winifred Atwell;Honky Tonk Band,honky-tonk,0.883,0.77,0.686,133.229,0.252,11,Folk & Country,Happy,honky tonk pt,3
Heart up in the Sky,Old Crow Medicine Show,bluegrass,0.948,0.588,0.473,182.906,0.661,24,Folk & Country,Groovy,heart sky,3
Tennessee Whiskey,George Jones,honky-tonk,0.33,0.278,0.587,105.357,0.761,49,Folk & Country,Sad,tennessee whiskey,3
I Lied (with Allison Ponthier),Lord Huron;Allison Ponthier,folk,0.138,0.269,0.44,103.877,0.914,63,Folk & Country,Sad,lied allison ponthier,3
Nothing Short of Thankful,The Avett Brothers,bluegrass,0.596,0.806,0.545,118.95,0.526,27,Folk & Country,Energetic,nothing short thankful,3
Loggin' Man,Del McCoury,bluegrass,0.9,0.616,0.432,166.214,0.597,21,Folk & Country,Happy,loggin man,3
Mystery Train,The Grascals,bluegrass,0.598,0.738,0.656,120.966,0.719,25,Folk & Country,Energetic,mystery train,3
The One I Loved Back Then (The Corvette Song),George Jones,honky-tonk,0.959,0.468,0.644,159.498,0.517,56,Folk & Country,Groovy,one loved back corvette song,3
A House Without Love,Hank Williams;Drifting Cowboys,honky-tonk,0.737,0.314,0.618,71.172,0.862,15,Folk & Country,Calm,house without love,3
Aeibeli Hok,Papon,folk,0.57,0.799,0.678,96.012,0.405,35,Folk & Country,Energetic,aeibeli hok,3
Kehna Ghalat Ghalat to Chhupana Sahi Sahi,Nusrat Fateh Ali Khan,folk,0.745,0.674,0.435,130.904,0.71,37,Folk & Country,Happy,kehna ghalat ghalat chhupana sahi sahi,3
Ain't the Same,Caribou Mountain Collective,bluegrass,0.489,0.466,0.548,79.705,0.833,31,Folk & Country,Groovy,ain same,3
First Thing I Reach For,Ashley McBryde,country,0.886,0.787,0.597,157.98,0.196,0,Folk & Country,Happy,first thing reach,3
Tilt-a-Whirl,The Railsplitters,bluegrass,0.452,0.474,0.622,122.664,0.681,21,Folk & Country,Groovy,tilt whirl,3
The Earth Rolls On,Shaver;Billy Joe Shaver,honky-tonk,0.354,0.632,0.391,127.777,0.000609,14,Folk & Country,Groovy,earth rolls,3
London's Song,Matt Hartke,folk,0.493,0.266,0.562,88.968,0.928,65,Folk & Country,Romantic,london song,3
Brown's Ferry Blues,Doc Watson;Merle Watson,bluegrass,0.775,0.582,0.449,139.295,0.69,22,Folk & Country,Groovy,brown ferry blues,3
Christmas Without You,Sheppard,folk,0.394,0.579,0.517,80.004,0.308,0,Folk & Country,Melancholic,christmas without,3
Steampipe Coffee,Circus No. 9;Jeff Sipe,bluegrass,0.452,0.41,0.479,151.855,0.746,21,Folk & Country,Groovy,steampipe coffee,3
Más que Ayer,Tierra Adentro,folk,0.552,0.721,0.558,162.063,0.22,44,Folk & Country,Energetic,mas que ayer,3
Skinny Love,Bon Iver,folk,0.109,0.263,0.592,76.366,0.845,73,Folk & Country,Sad,skinny love,3
If the World Was Ending,Hannah Ellis;Nick Wayne,country,0.637,0.399,0.492,133.416,0.771,49,Folk & Country,Calm,world ending,3
Christmas Got Colder,Anson Seabra,singer-songwriter,0.471,0.274,0.585,81.37,0.791,0,Folk & Country,Romantic,christmas colder,3
My Baby's Gone,George Jones,honky-tonk,0.617,0.28,0.52,122.71,0.539,12,Folk & Country,Calm,baby gone,3
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,country,0.378,0.674,0.426,110.399,0.48,0,Folk & Country,Groovy,courtesy red white blue angry american,3
Unfaithful One,George Jones,honky-tonk,0.587,0.179,0.498,116.569,0.868,13,Folk & Country,Romantic,unfaithful one,3
Saiyaan - Lofi Flip,Kailash Kher;Silent Ocean,folk,0.53,0.42,0.618,100.011,0.743,39,Folk & Country,Groovy,saiyaan lofi flip,3
Falling Slowly,Glen Hansard;Markéta Irglová,singer-songwriter,0.151,0.209,0.34,137.042,0.679,64,Folk & Country,Sad,falling slowly,3
A Soulmate Who Wasn’t Meant to Be,Jess Benko,singer-songwriter,0.087,0.0274,0.571,124.209,0.948,71,Folk & Country,Sad,soulmate wasnt meant,3
Girl Crush,Little Big Town,country,0.355,0.225,0.5,173.788,0.842,70,Folk & Country,Sad,girl crush,3
Never Happy Till I'm Full Of Sorrow,Blue Moon Rising,bluegrass,0.845,0.544,0.62,147.964,0.865,22,Folk & Country,Groovy,never happy till full sorrow,3
Your Cheatin' Heart,George Jones,honky-tonk,0.582,0.328,0.591,118.871,0.546,14,Folk & Country,Romantic,cheatin heart,3
Christmas Cookies,George Strait,country,0.865,0.621,0.743,90.384,0.465,0,Folk & Country,Happy,christmas cookies,3
Drivin' Nails In My Coffin - Single Version,Ernest Tubb,honky-tonk,0.706,0.405,0.677,112.262,0.706,45,Folk & Country,Groovy,drivin nails coffin single version,3
Jet Lag Blues,Elephant Revival,bluegrass,0.691,0.472,0.67,95.111,0.72,24,Folk & Country,Groovy,jet lag blues,3
Bright Morning Star,Ralph Stanley,bluegrass,0.194,0.0284,0.48,105.888,0.925,21,Folk & Country,Sad,bright morning star,3
i don't want to watch the world end with someone else,Clinton Kane,singer-songwriter,0.488,0.359,0.535,154.163,0.771,71,Folk & Country,Romantic,don want watch world end someone else,3
Little Jack Frost Get Lost (with Marjorie Hughes) - 78rpm Version,Frankie Carle;Marjorie Hughes,honky-tonk,0.732,0.247,0.779,135.87,0.942,28,Folk & Country,Calm,little jack frost lost marjorie hughes rpm version,3
Kiss Me - Bluegrass Rendition of Sixpence None the Richer,Pickin' On Series,bluegrass,0.308,0.45,0.601,100.027,0.589,21,Folk & Country,Melancholic,kiss bluegrass rendition sixpence none richer,3
You Oughta Know,Alanis Morissette,singer-songwriter,0.473,0.861,0.641,105.32,0.227,1,Folk & Country,Energetic,oughta know,3
You Were On My Mind This Morning,Hot Rize,bluegrass,0.75,0.621,0.578,120.575,0.682,21,Folk & Country,Happy,mind morning,3
John Deere Tractor,Larry Sparks,bluegrass,0.26,0.104,0.425,119.931,0.673,23,Folk & Country,Sad,john deere tractor,3
I'm Sorry For You My Friend,Hank Williams;Drifting Cowboys,honky-tonk,0.462,0.147,0.609,114.854,0.926,17,Folk & Country,Romantic,sorry friend,3
Keep Your Head Up Princess,Anson Seabra,singer-songwriter,0.528,0.143,0.689,85.398,0.97,66,Folk & Country,Romantic,keep head princess,3
Little Paper Boy,Hank Williams,honky-tonk,0.368,0.267,0.505,135.627,0.927,11,Folk & Country,Sad,little paper boy,3
The Hops of Guldenberg,Punch Brothers,bluegrass,0.568,0.488,0.592,112.338,0.708,23,Folk & Country,Groovy,hops guldenberg,3
No Rancho Fundo,Chico Teixeira,folk,0.398,0.283,0.695,114.068,0.874,43,Folk & Country,Sad,rancho fundo,3
Ek Patan Sher Ni (Live),Parthiv Gohil;Jahnvi Shrimankar,folk,0.894,0.956,0.697,121.375,0.267,36,Folk & Country,Happy,ek patan sher ni live,3
I Want To Grow Old With You,George Jones,honky-tonk,0.533,0.286,0.633,74.797,0.346,16,Folk & Country,Romantic,want grow old,3
Kentucky Waltz,The Osborne Brothers,bluegrass,0.364,0.326,0.545,95.282,0.74,23,Folk & Country,Sad,kentucky waltz,3
I'm Not Ready Yet,George Jones,honky-tonk,0.419,0.333,0.612,95.42,0.709,27,Folk & Country,Romantic,ready yet,3
Viajando voy,Tierra Adentro,folk,0.712,0.895,0.562,131.715,0.237,43,Folk & Country,Happy,viajando voy,3
Uljhe Hue (Raw),Osho Jain,singer-songwriter,0.286,0.0658,0.434,104.835,0.901,33,Folk & Country,Sad,uljhe hue raw,3
After A Few,Travis Denning,country,0.656,0.855,0.619,107.004,0.0155,0,Folk & Country,Happy,after few,3
Better Days,Dermot Kennedy,folk,0.352,0.553,0.68,99.999,0.409,74,Folk & Country,Melancholic,better days,3
Your Love Amazes Me,John Berry,bluegrass,0.218,0.382,0.589,75.497,0.402,54,Folk & Country,Sad,love amazes,3
Uduli Muduli,Papon,folk,0.626,0.479,0.67,136.952,0.511,33,Folk & Country,Groovy,uduli muduli,3
Their Names Are The Trees,Kitchen Dwellers,bluegrass,0.591,0.808,0.66,110.007,0.499,25,Folk & Country,Energetic,names trees,3
Nothing To It (with Doc Watson),Lester Flatt;Earl Scruggs;Doc Watson,bluegrass,0.967,0.687,0.41,132.559,0.0787,20,Folk & Country,Happy,nothing doc watson,3
Moochile Theeyumaay,Kailash Kher,folk,0.663,0.903,0.667,152.987,0.62,36,Folk & Country,Happy,moochile theeyumaay,3
Cold Feet,Greensky Bluegrass,bluegrass,0.658,0.632,0.565,118.658,0.56,24,Folk & Country,Happy,cold feet,3
Maple Leaf Rag,Jo Ann Castle,honky-tonk,0.972,0.515,0.622,131.497,0.708,10,Folk & Country,Groovy,maple leaf rag,3
A Good Old-Fashioned Saturday Night Honky Tonk Bar-Room Brawl,Vernon Oxford,honky-tonk,0.89,0.744,0.489,172.262,0.508,17,Folk & Country,Happy,good old fashioned saturday night honky tonk bar room brawl,3
The Hills and Home,High Fidelity,bluegrass,0.963,0.65,0.582,120.177,0.199,21,Folk & Country,Happy,hills home,3
Captain's Daughter,Mipso,bluegrass,0.688,0.29,0.634,109.972,0.878,24,Folk & Country,Calm,captain daughter,3
easier said,Kacey Musgraves,country,0.381,0.609,0.541,147.828,0.51,0,Folk & Country,Groovy,easier said,3
As the World Caves In - Wuki Remix,Sarah Cothran;Wuki,singer-songwriter,0.0385,0.499,0.589,125.133,0.33,56,Folk & Country,Melancholic,world caves wuki remix,3
Country Girl,Faron Young,honky-tonk,0.795,0.441,0.604,128.32,0.791,44,Folk & Country,Groovy,country girl,3
Fallin' on My Face,Fruition,bluegrass,0.373,0.762,0.36,134.805,0.00462,23,Folk & Country,Energetic,fallin face,3
Reelin' In The Years,Steely Dan,country,0.706,0.758,0.52,135.349,0.115,0,Folk & Country,Happy,reelin years,3
High On A Mountain,Hot Rize,bluegrass,0.682,0.274,0.439,201.5,0.793,29,Folk & Country,Calm,high mountain,3
Echo Park,The Lil Smokies,bluegrass,0.593,0.325,0.678,123.267,0.707,27,Folk & Country,Romantic,echo park,3
Pass The Booze,Ernest Tubb,honky-tonk,0.893,0.373,0.615,163.936,0.668,46,Folk & Country,Calm,pass booze,3
A Pair Of Old Sneakers,George Jones;Tammy Wynette,honky-tonk,0.428,0.267,0.62,52.67,0.754,12,Folk & Country,Romantic,pair old sneakers,3
Always Late (With Your Kisses),Lefty Frizzell,honky-tonk,0.546,0.152,0.772,117.749,0.834,15,Folk & Country,Romantic,always late kisses,3
Yeh Pal,Prateek Kuhad,folk,0.38,0.204,0.752,117.997,0.834,48,Folk & Country,Sad,yeh pal,3
"Baby, It's Cold Outside",Brett Eldredge;Meghan Trainor,country,0.662,0.575,0.609,113.958,0.723,0,Folk & Country,Groovy,baby cold outside,3
Det Är Hit Man Kommer När Man Kommer Hem,Euskefeurat,folk,0.655,0.265,0.423,95.594,0.814,42,Folk & Country,Calm,det ar hit man kommer nar man kommer hem,3
We'll Sweep Out the Ashes In the Morning,Carl & Pearl Butler,honky-tonk,0.714,0.381,0.581,125.545,0.865,10,Folk & Country,Calm,ll sweep ashes morning,3
Islands in the Stream,Dolly Parton;Kenny Rogers,country,0.73,0.524,0.611,203.787,0.68,64,Folk & Country,Groovy,islands stream,3
Lambi Judaai,Reshma;Laxmikant–Pyarelal,folk,0.56,0.538,0.494,135.607,0.481,43,Folk & Country,Groovy,lambi judaai,3
A Flor Que A Gente Assopra,Almir Sater;Renato Teixeira,folk,0.504,0.413,0.675,114.122,0.791,50,Folk & Country,Groovy,flor que gente assopra,3
Life of a Poor Boy,Stonewall Jackson,honky-tonk,0.911,0.7,0.808,97.673,0.653,10,Folk & Country,Happy,life poor boy,3
Never Say Never,Cole Swindell;Lainey Wilson,country,0.49,0.931,0.469,140.059,0.00752,0,Folk & Country,Energetic,never say never,3
I GUESS I'M IN LOVE,Clinton Kane,singer-songwriter,0.223,0.34,0.422,77.213,0.877,77,Folk & Country,Sad,guess love,3
Bang Bang (My Baby Shot Me Down),Nancy Sinatra,folk,0.366,0.174,0.433,95.802,0.982,66,Folk & Country,Sad,bang bang baby shot down,3
Christmas Is For Children,Glen Campbell,country,0.181,0.288,0.32,77.762,0.363,0,Folk & Country,Sad,christmas children,3
Still Doin' Time,George Jones,honky-tonk,0.34,0.311,0.635,124.166,0.772,22,Folk & Country,Sad,still doin time,3
Rich/Poor,Trampled by Turtles,bluegrass,0.611,0.552,0.473,97.151,0.198,26,Folk & Country,Groovy,rich poor,3
Baare Baare,Kailash Kher,folk,0.494,0.455,0.474,92.624,0.629,35,Folk & Country,Groovy,baare baare,3
Bawshonto Eshe Geche (Male),Anupam Roy,singer-songwriter,0.463,0.635,0.552,117.913,0.107,37,Folk & Country,Groovy,bawshonto eshe geche male,3
Lost Dog,Sarah Jarosz,bluegrass,0.204,0.168,0.678,127.402,0.853,23,Folk & Country,Sad,lost dog,3
Twist And Shout,The Mamas & The Papas,folk,0.708,0.538,0.552,96.04,0.8,0,Folk & Country,Groovy,twist shout,3
Atlantis - Sped Up Version,Seafret,folk,0.138,0.544,0.425,90.043,0.0562,73,Folk & Country,Melancholic,atlantis sped version,3
Colorado Hipster Beard,Wood Belly,bluegrass,0.665,0.574,0.659,133.958,0.174,31,Folk & Country,Groovy,colorado hipster beard,3
Nade Mundhe,Kailash Kher,folk,0.555,0.769,0.792,109.997,0.475,34,Folk & Country,Energetic,nade mundhe,3
Gone Gone Gone,The Brothers Comatose,bluegrass,0.668,0.782,0.57,105.4,0.476,29,Folk & Country,Happy,gone gone gone,3
Break Free,When Chai Met Toast,folk,0.202,0.608,0.586,94.982,0.132,39,Folk & Country,Groovy,break free,3
Bartender's Blues (With James Taylor,George Jones;James Taylor,honky-tonk,0.236,0.184,0.486,130.922,0.833,10,Folk & Country,Sad,bartender blues james taylor,3
Little Liza Jane,Adam Steffey,bluegrass,0.958,0.881,0.399,170.332,0.447,22,Folk & Country,Happy,little liza jane,3
Do I Have To Say The Words?,Bryan Adams,singer-songwriter,0.457,0.595,0.503,128.099,0.0895,59,Folk & Country,Groovy,say words,3
She's Always a Woman,Billy Joel,folk,0.384,0.324,0.292,176.631,0.797,73,Folk & Country,Sad,always woman,3
Darkness and the Light,Trampled by Turtles,bluegrass,0.895,0.938,0.44,139.975,0.615,30,Folk & Country,Happy,darkness light,3
Cup of Loneliness,George Jones,honky-tonk,0.848,0.417,0.564,138.271,0.871,10,Folk & Country,Groovy,cup loneliness,3
Woh Saat Din,Raghav Meattle;Hanita Bhambri;Ashish Zachariah,singer-songwriter,0.167,0.313,0.63,149.985,0.87,41,Folk & Country,Sad,woh saat din,3
Precious Little Baby,Ernest Tubb,honky-tonk,0.416,0.267,0.747,81.057,0.9,11,Folk & Country,Romantic,precious little baby,3
Message To My Mother,Hank Williams;Drifting Cowboys,honky-tonk,0.355,0.197,0.435,128.541,0.948,9,Folk & Country,Sad,message mother,3
Take Me - Single Version,George Jones;Tammy Wynette,honky-tonk,0.465,0.116,0.446,67.929,0.92,15,Folk & Country,Romantic,take single version,3
Rainbow Roller-Coaster,Acoustic Syndicate,bluegrass,0.58,0.558,0.694,96.833,0.766,20,Folk & Country,Groovy,rainbow roller coaster,3
"Mann Melo, Pt. 2",Jasleen Royal;Siddharth Amit Bhavsar,singer-songwriter,0.239,0.56,0.359,100.042,0.139,35,Folk & Country,Melancholic,mann melo pt,3
I Don't Want No Stranger Sleepin' in My Bed,George Jones,honky-tonk,0.71,0.33,0.655,127.802,0.691,11,Folk & Country,Calm,don want stranger sleepin bed,3
June Apple,Foghorn Stringband,bluegrass,0.894,0.668,0.39,139.986,0.255,23,Folk & Country,Happy,june apple,3
Midnight Flyer,The Osborne Brothers;Mac Wiseman,bluegrass,0.888,0.632,0.54,137.564,0.727,22,Folk & Country,Happy,midnight flyer,3
Little Sadie,Tony Rice Unit,bluegrass,0.866,0.545,0.675,114.842,0.267,22,Folk & Country,Groovy,little sadie,3
Jerusalem Ridge,Tony Rice Unit,bluegrass,0.952,0.682,0.496,128.135,0.803,24,Folk & Country,Happy,jerusalem ridge,3
The Show's Almost Over,George Jones,honky-tonk,0.393,0.334,0.538,124.869,0.735,12,Folk & Country,Sad,show almost over,3
O Santo De Polvora,Chris Thile,bluegrass,0.926,0.527,0.547,116.678,0.896,21,Folk & Country,Groovy,santo de polvora,3
Heavy Eyes,Zach Bryan,country,0.613,0.912,0.471,139.667,0.032,0,Folk & Country,Happy,heavy eyes,3
Sounds Like a Movie,Trampled by Turtles,bluegrass,0.788,0.851,0.503,95.664,0.593,24,Folk & Country,Happy,sounds movie,3
Ain't the Reaping Ever Done,Eddie Noack,honky-tonk,0.58,0.404,0.585,116.923,0.542,25,Folk & Country,Groovy,ain reaping ever done,3
Work Song,Hozier,singer-songwriter,0.256,0.388,0.432,177.549,0.776,63,Folk & Country,Sad,work song,3
I'm A Long Gone Daddy,Hank Williams,honky-tonk,0.824,0.301,0.581,151.157,0.958,11,Folk & Country,Calm,long gone daddy,3
Every Little Thing,Carly Pearce,country,0.322,0.427,0.639,139.899,0.434,2,Folk & Country,Melancholic,every little thing,3
Sex and Candy,Keller & The Keels,bluegrass,0.574,0.403,0.59,99.612,0.704,23,Folk & Country,Groovy,sex candy,3
Something in the Orange,Zach Bryan,country,0.148,0.192,0.369,175.212,0.555,3,Folk & Country,Sad,something orange,3
Simple Song,Passenger,folk,0.598,0.402,0.631,78.0,0.616,63,Folk & Country,Groovy,simple song,3
Heartland - Pure Country/Soundtrack Version,George Strait,country,0.696,0.89,0.449,156.978,0.0521,0,Folk & Country,Happy,heartland pure country soundtrack version,3
Someday You'll Call My Name - Single Version,Hank Williams;Drifting Cowboys,honky-tonk,0.398,0.233,0.525,119.922,0.956,12,Folk & Country,Sad,someday ll call name single version,3
Edge of Desire,John Mayer,singer-songwriter,0.455,0.441,0.606,66.443,0.326,61,Folk & Country,Groovy,edge desire,3
1901: A Canyon Odyssey,The Infamous Stringdusters,bluegrass,0.746,0.731,0.503,115.934,0.526,32,Folk & Country,Happy,canyon odyssey,3
Burning Bridges,George Jones,honky-tonk,0.375,0.248,0.36,81.276,0.611,9,Folk & Country,Sad,burning bridges,3
Allah Ke Bande,Kailash Kher,folk,0.726,0.44,0.543,125.53,0.795,62,Folk & Country,Groovy,allah bande,3
You're the Inspiration - 2006 Remaster,Chicago,folk,0.388,0.602,0.583,74.008,0.368,73,Folk & Country,Groovy,re inspiration remaster,3
Wearin' Out Your Walkin' Shoes - Non-Session Demo,Hank Williams,honky-tonk,0.776,0.295,0.684,102.891,0.888,12,Folk & Country,Calm,wearin walkin shoes non session demo,3
In The Gravel Yard,Blue Highway,bluegrass,0.925,0.675,0.718,110.557,0.702,30,Folk & Country,Happy,gravel yard,3
Sajde - Desert Rose,Mame Khan,folk,0.667,0.529,0.657,139.982,0.609,0,Folk & Country,Groovy,sajde desert rose,3
"Lord, I Hope This Day Is Good - Single Version",Don Williams,country,0.702,0.388,0.526,173.82,0.252,57,Folk & Country,Calm,lord hope day good single version,3
Busted in Utah,Hot Buttered Rum,bluegrass,0.753,0.737,0.501,137.94,0.78,23,Folk & Country,Happy,busted utah,3
The Christmas Song (Chestnuts Roasting On An Open Fire),Judah & the Lion,folk,0.307,0.682,0.53,138.231,0.156,0,Folk & Country,Groovy,christmas song chestnuts roasting open fire,3
You're the Best Thing That Ever Happened to Me,Ray Price,honky-tonk,0.382,0.365,0.24,170.883,0.708,17,Folk & Country,Sad,re best thing ever happened,3
Jaago Uma,Anupam Roy;Rupankar Bagchi,singer-songwriter,0.206,0.605,0.274,167.276,0.712,33,Folk & Country,Groovy,jaago uma,3
Some Girls Do,Sawyer Brown,country,0.903,0.852,0.64,139.949,0.0907,40,Folk & Country,Happy,some girls,3
Show MeThe Way to Go Home - 2003 Remaster,Mrs Mills,honky-tonk,0.651,0.348,0.758,117.433,0.835,12,Folk & Country,Calm,show methe way home remaster,3
Some Broken Hearts Never Mend,Don Williams,country,0.71,0.466,0.622,97.583,0.868,56,Folk & Country,Groovy,some broken hearts never mend,3
Crazy Heart,Hank Williams;Drifting Cowboys,honky-tonk,0.65,0.251,0.608,119.609,0.852,15,Folk & Country,Calm,crazy heart,3
"Take Me Home, Country Roads (Acoustic)",Music Travel Love,country,0.645,0.316,0.703,94.03,0.736,58,Folk & Country,Calm,take home country roads acoustic,3
Pastures of Plenty,Alison Krauss & Union Station,bluegrass,0.304,0.396,0.626,133.852,0.576,22,Folk & Country,Sad,pastures plenty,3
Absence of Reason,Greensky Bluegrass,bluegrass,0.579,0.587,0.576,100.432,0.338,27,Folk & Country,Groovy,absence reason,3
Dueling Banjos,Earl Scruggs,bluegrass,0.399,0.329,0.473,134.338,0.632,23,Folk & Country,Sad,dueling banjos,3
Good Things,Dan + Shay,country,0.617,0.621,0.529,97.189,0.13,63,Folk & Country,Happy,good things,3
I'm So Lonesome I Could Cry - Single Version,Hank Williams,honky-tonk,0.618,0.21,0.675,111.077,0.862,16,Folk & Country,Calm,lonesome cry single version,3
Baby It's Cold Outside,Willie Nelson;Norah Jones,country,0.449,0.358,0.532,90.475,0.717,1,Folk & Country,Romantic,baby cold outside,3
Long Gone Lonesome Blues,Hank Williams;Drifting Cowboys,honky-tonk,0.742,0.327,0.717,122.615,0.687,40,Folk & Country,Calm,long gone lonesome blues,3
Skaters Boogie,Jo Ann Castle,honky-tonk,0.935,0.869,0.498,127.617,0.725,12,Folk & Country,Happy,skaters boogie,3
I Wish I Could Fall In Love Today,Ray Price,honky-tonk,0.862,0.482,0.563,137.79,0.76,14,Folk & Country,Groovy,wish fall love today,3
Ee Kanninalli,Raghu Dixit;Lakshmi Manmohan,folk,0.488,0.739,0.634,120.009,0.384,35,Folk & Country,Energetic,ee kanninalli,3
Chain Drinkin',Cody Johnson,country,0.817,0.793,0.575,166.099,0.199,42,Folk & Country,Happy,chain drinkin,3
Back on the Chain Gang - 2007 Remaster,Pretenders,folk,0.814,0.901,0.595,153.239,0.116,0,Folk & Country,Happy,back chain gang remaster,3
Jal Rahin Hain,Kailash Kher,folk,0.691,0.627,0.442,152.984,0.793,46,Folk & Country,Happy,jal rahin hain,3
Let It Snow,The Temptations,funk,0.286,0.457,0.452,128.518,0.28,0,Hip-Hop,Melancholic,let snow,6
Amar Theme - Background Score,Anirudh Ravichander,hip-hop,0.0764,0.724,0.679,137.942,0.121,59,Hip-Hop,Dark,amar theme background score,6
Braços de Amor,Kemuel,groove,0.194,0.449,0.271,129.464,0.856,25,Hip-Hop,Melancholic,bracos de amor,6
David - Darren Emerson's Underwater Remix,GusGus,trip-hop,0.895,0.796,0.784,128.013,0.00339,18,Hip-Hop,Happy,david darren emerson underwater remix,6
Teu melhor,Purples,groove,0.257,0.446,0.413,143.485,0.261,38,Hip-Hop,Melancholic,teu melhor,6
Santo - Ao Vivo,Trazendo a Arca,groove,0.135,0.446,0.253,74.629,0.93,29,Hip-Hop,Melancholic,santo ao vivo,6
Ain't No Sunshine,Bill Withers,funk,0.515,0.415,0.527,78.169,0.457,79,Hip-Hop,Groovy,ain sunshine,6
Las Güilotas,Chuy Lizarraga y Su Banda Tierra Sinaloense,r-n-b,0.974,0.899,0.729,145.095,0.423,42,Hip-Hop,Happy,las guilotas,6
Toque no Altar - Ao Vivo,Trazendo a Arca,groove,0.426,0.898,0.582,119.943,0.0345,34,Hip-Hop,Energetic,toque altar ao vivo,6
Guitar Madness,Gramatik,trip-hop,0.386,0.626,0.56,186.098,0.0502,19,Hip-Hop,Groovy,guitar madness,6
Sirikkalam Parakkalam,Benny Dayal;Madurai Soulijos,hip-hop,0.537,0.834,0.703,127.944,0.0396,57,Hip-Hop,Energetic,sirikkalam parakkalam,6
The Staunton Lick,Lemon Jelly,trip-hop,0.414,0.867,0.64,174.711,0.323,52,Hip-Hop,Energetic,staunton lick,6
Victim Of Love - Original Mix,Solex,trip-hop,0.057,0.94,0.617,137.009,9.11e-05,20,Hip-Hop,Dark,victim love original mix,6
Swad Kutde,The Landers,hip-hop,0.795,0.511,0.853,90.171,0.188,58,Hip-Hop,Groovy,swad kutde,6
Kikiribu - The Bahama Soul Club remix,Mo' Horizons;The Bahama Soul Club,trip-hop,0.345,0.765,0.794,111.996,0.0031,18,Hip-Hop,Energetic,kikiribu bahama soul club remix,6
Kahan Par Hai,MC STAN,hip-hop,0.489,0.695,0.706,141.974,0.461,57,Hip-Hop,Groovy,kahan par,6
Touch Down - Remix,Stylo G;The FaNaTiX;Nicki Minaj;Vybz Kartel,dancehall,0.488,0.707,0.603,100.104,0.0899,54,Hip-Hop,Energetic,touch down remix,6
Na Terra Como no Céu (Here as in Heaven),Rodrigo Mozart,groove,0.197,0.848,0.248,139.869,0.00149,31,Hip-Hop,Dark,na terra como ceu here heaven,6
G-Shit (feat. Blockboi Twitch),Sidhu Moose Wala;Blockboi Twitch,hip-hop,0.843,0.761,0.658,165.543,0.0531,62,Hip-Hop,Happy,shit feat blockboi twitch,6
Dippam Dappam,Anirudh Ravichander;Anthony Daasan,hip-hop,0.748,0.719,0.828,124.006,0.0919,62,Hip-Hop,Happy,dippam dappam,6
Why We Thugs,Ice Cube,funk,0.664,0.59,0.783,98.079,0.323,0,Hip-Hop,Groovy,why thugs,6
Pra Te Ver,MC Hariel,funk,0.522,0.544,0.734,117.149,0.658,42,Hip-Hop,Groovy,pra te ver,6
The Little Drummer Boy,The Temptations,funk,0.386,0.509,0.611,105.074,0.397,0,Hip-Hop,Melancholic,little drummer boy,6
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,hip-hop,0.894,0.704,0.736,149.995,0.0203,86,Hip-Hop,Happy,industry baby feat jack harlow,6
Sandalia Dela,Nicola Conte;Heid Vogel,trip-hop,0.815,0.689,0.631,107.461,0.745,22,Hip-Hop,Happy,sandalia dela,6
Og Bobby Johnson,Kraff Gad,dancehall,0.518,0.55,0.632,200.086,0.407,26,Hip-Hop,Groovy,og bobby johnson,6
Meu Tributo,Kemuel,groove,0.148,0.339,0.239,131.189,0.922,30,Hip-Hop,Sad,meu tributo,6
Dedication To House Music,Dennis Quin,groove,0.532,0.648,0.805,130.003,0.00611,39,Hip-Hop,Groovy,dedication house music,6
Desi Kalakaar,Yo Yo Honey Singh,hip-hop,0.766,0.67,0.751,156.062,0.0796,69,Hip-Hop,Happy,desi kalakaar,6
A Vibe (feat. Wiz Khalifa),Protoje;Wiz Khalifa,dancehall,0.467,0.683,0.714,159.893,0.457,47,Hip-Hop,Groovy,vibe feat wiz khalifa,6
Con Calma,Daddy Yankee;Snow,hip-hop,0.656,0.86,0.737,93.989,0.11,0,Hip-Hop,Happy,con calma,6
Nah Surrender,Degree,dancehall,0.632,0.753,0.681,99.991,0.047,33,Hip-Hop,Happy,nah surrender,6
Coração Amoleceu,Mc Don Juan,funk,0.879,0.359,0.7,85.621,0.375,50,Hip-Hop,Calm,coracao amoleceu,6
Drop It Like It's Hot,Snoop Dogg;Pharrell Williams,funk,0.664,0.622,0.888,91.977,0.16,4,Hip-Hop,Happy,drop hot,6
High Up On the Hook,Alice Russell,trip-hop,0.37,0.594,0.649,77.4,0.466,50,Hip-Hop,Melancholic,high hook,6
Tom The Model,Beth Gibbons;Rustin Man,trip-hop,0.244,0.451,0.461,96.005,0.744,49,Hip-Hop,Melancholic,tom model,6
Ao Som Dos Tambores,ALEXANDRE APOSAN,groove,0.699,0.801,0.569,100.037,0.22,23,Hip-Hop,Happy,ao som dos tambores,6
Flow Candela,Escala Mercalli,dancehall,0.863,0.733,0.718,92.013,0.199,34,Hip-Hop,Happy,flow candela,6
